data_collection_year,geo_level_1,geo_level_2,geo_level_3,geo_level_4,geo_level_5,geo_level_6,geo_level_7,water_point_id,num_families_in_community,families_with_access_to_improved_water,families_without_access_to_improved_water,water_point_type,age_since_original_construction,risk_based_on_age,risk_based_on_current_condition,level_of_service,level_of_priority_to_repair_or_replace,level_of_service_score,alert,components,recommended_activity,remaining_lifespan_of_spring_protection,remaining_lifespan_of_taps,remaining_lifespan_of_well,remaining_lifespan_of_pump,remaining_lifespan_of_apron,state_of_spring_protection,state_of_taps,state_of_well,state_of_pump,state_of_apron,overall_state_of_water_point,water_point_improved,source_protected,number_of_users_meets_govt_standard,adequate_water_quality,adequate_water_quantity,out_of_service_one_day_or_less_in_past_month,water_available_from_point_on_day_of_visit,water_point_in_good_overall_condition,presense_of_spring_protection,year_spring_protection_constructed_or_reconstructed,presense_of_tap,year_taps_constructed_or_reconstructed,presense_of_well,year_well_constructed_or_reconstructed,presense_of_pump,year_pump_constructed_or_reconstructed,presense_of_apron,year_apron_constructed_or_reconstructed,days_out_of_service_in_last_year
2017,Malawi,Chikhwawa,Ngabu,Goma,Mgujula,,,Mgujula 1,209,209, ,Afridev Handpump,2005,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,3,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,8,-2,8, , ,2,2,2,2,1,1,0,0,0,0,1,0, , , , ,1,2005,1,2005,1,2005,20
2017,Malawi,Chikhwawa,Maseya,Muyaya,Filipo,,,water for people,78,78, ,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Katunga,William,Chikalumpha,,,Chikalumpha.,180,180, ,Afridev Handpump,2012,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,15,5,15, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2012,1,2012,1,2012,0
2017,Malawi,Chikhwawa,Ngabu,Nkhwangwa,Kwadeka,,,BB 10,106,106, ,Afridev Handpump,1972,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,-25,-6,4, , ,1,1,2,1,1,1,0,1,0,1,1,1, , , , ,1,1972,1,2001,1,2001,0
2017,Malawi,Chikhwawa,Masache,Konzere,Khambi,,,Khambi,60,60, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Masache,Thendo,Ntapaduwa,,,777,65,65, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Katunga,Ntondeza,Ntondeza Ii,,,Paulosi 1,85,85, ,Afridev Handpump,2008,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,1,2,1,1,1,0,1,0,1,1,1, , , , ,1,2008,1,2008,1,2008,0
2017,Malawi,Chikhwawa,Katunga,Salumeji,Isso,,,issoh,45,45, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Chapananga,Madeu,Jonasi,,,200,127,127, ,Afridev Handpump,1995,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,-2,7,17, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,1995,1,2014,1,2014,30
2017,Malawi,Chikhwawa,Ngabu,Nkhwazi,Salabeni,,,777,130, ,130,Scoophole, ,No Improved Water Point/System,No Improved Water Point/System,No Improved Water Point/System,New Construction Needed,0,New Construction Needed,,Plan For Investment and Construction, , , , , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , 
2017,Malawi,Chikhwawa,Makhwira,Gangu,Nyaulombo,,,Water for people,19,19, ,Malda Handpump,2008,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,4,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,2,2,1,2,1,1,1,0,0,0,1,0, , , , ,1,2008,1,2008,1,2008,192
2017,Malawi,Chikhwawa,Ndakwera,Lazaro,Masamba,,,Masamba 1,160,160, ,Afridev Handpump,2002,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,5,9,19, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2002,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Kasisi,Kandeu,Kandeu Ii,,,Kandeu 2-1,100,100, ,Afridev Handpump,2008,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2008,1,2008,1,2008,0
2017,Malawi,Chikhwawa,Maseya,M'Bande,M'Bande 1,,,FWP BH no 2087,98,98, ,Afridev Handpump,2010,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,13,3,13, , ,1,1,1,1,1,1,1,1,0,0,1,1, , , , ,1,2010,1,2010,1,2010,180
2017,Malawi,Chikhwawa,Maseya,Frank,Frank,,,Tome 1,230,230,230,Afridev Handpump,2007,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,10,0,10, , ,1,1,2,1,1,1,0,1,0,0,1,1, , , , ,1,2007,1,2007,1,2007,12
2017,Malawi,Chikhwawa,Makhwira,Mmodzi,Ulaya,,,Fwp 2035,150,150, ,Afridev Handpump,2009,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,12,2,12, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2009,1,2009,1,2009,0
2017,Malawi,Chikhwawa,Ndakwera,Zalela,Mkumbadawe,,,Mkumbadawe 2,60,60, ,Afridev Handpump,2016,Low Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,19,9,19, , ,3,3,1,3,1,1,1,0,0,0,0,0, , , , ,1,2016,1,2016,1,2016,14
2017,Malawi,Chikhwawa,Chapananga,Misomali,Ngirazi,,,Ngirazi 1,100,100, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Chapananga,Saliva Ii,Saliva Ii,,,Saliva 2-3,200,100,100,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Chapananga,Kachibade,Chitani,,,Chitani,40,40, ,Afridev Handpump,2015,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,2015,1,2015,1,2015,4
2017,Malawi,Chikhwawa,Chapananga,Chikuse,Fulezala,,,Fulezala water point committee,80, , ,Afridev Handpump,2015,Low Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,18,8,18, , ,1,1,1,3,1,1,0,0,0,1,0,0, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Mulilima,Medramu,Medramu,,,Kadzitche/One Foundation,60,60, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Ngabu,Malemia,Dagras,,,MCK 5/98,89,89, ,Afridev Handpump,1998,High Risk,Medium Risk,Basic Level of Service,High Priority,5,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,1,5,15, , ,1,2,2,2,1,1,0,1,0,1,1,0, , , , ,1,1998,1,2012,1,2012,0
2017,Malawi,Chikhwawa,Ngabu,Saopa,Mchacha,,, ,70, ,70,Scoophole, ,No Improved Water Point/System,No Improved Water Point/System,No Improved Water Point/System,New Construction Needed,0,New Construction Needed,,Plan For Investment and Construction, , , , , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , 
2017,Malawi,Chikhwawa,Makhwira,Gangu,Mfunde,,,RED CROSS 008,162,162, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,2,1,1,1,1,0,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Ngabu,Saopa,Kachere,,,MW 104 B/07,70,70, ,Afridev Handpump,2007,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,10,0,10, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2007,1,2007,1,2007,0
2017,Malawi,Chikhwawa,Ndakwera,Mankhokwe,Mankhokwe,,,Mankhokwe 2,600,600, ,Afridev Handpump,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
2017,Malawi,Chikhwawa,Ngabu,Nsangwe,Chikwatu,,,NEP Wf3,36,36, ,Afridev Handpump,1998,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,7,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,1,-9,1, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,1998,1,1998,1,1998,0
2017,Malawi,Chikhwawa,Kasisi,Kavalo,Mlangeni,,,MASAF No.278/Mlangeni,110,110, ,Afridev Handpump,2001,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,4,-6,4, , ,1,1,2,1,1,1,0,1,0,1,1,1, , , , ,1,2001,1,2001,1,2001,0
2017,Malawi,Chikhwawa,Kasisi,Mbenderana,Mbenderana I,,,Mbendelana 5,162,162, ,Afridev Handpump,1991,High Risk,Medium Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-6,-6,4, , ,1,2,1,2,1,1,0,1,0,0,1,0, , , , ,1,1991,1,2001,1,2001,6
2017,Malawi,Chikhwawa,Ngabu,Saopa,Maluwa,,,SM262,50,50, ,Afridev Handpump,1962,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,-35,-45,-35, , ,1,1,2,1,1,1,1,1,0,0,1,1, , , , ,1,1962,1,1962,1,1962,4
2017,Malawi,Chikhwawa,Chapananga,Chithumba,Senzeni,,,Senzeni,80,80, ,Afridev Handpump,2014,Low Risk,Low Risk,High Level of Service,Low Priority,8,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Chapananga,Kabwatika,Zabuka,,,Zabuka,25,25, ,Afridev Handpump,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
2017,Malawi,Chikhwawa,Ngabu,Nkhwangwa,Nkhwangwa,,,nkhwangwa,102,102, ,Afridev Handpump,2000,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,3,7,17, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2000,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Makhwira,Mmodzi,Mmodzi,,,mmodzi borehole 2,600,600, ,Afridev Handpump,1973,High Risk,Low Risk,Basic Level of Service,Medium Priority,4,Consider Replacing Aging Components,"Well, Pump,  ",Further Technical Diagnostic Needed , , ,-24,-34, , , ,1,1, ,2,1,1,0,1,0,0,1,0, , , , ,1,1973,1,1973,0, ,12
2017,Malawi,Chikhwawa,Maseya,Maide,Mukhori,,,Water for people,36,30,6,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Chapananga,Simonzi,Nkosa,,,12,76,76, ,Afridev Handpump,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
2017,Malawi,Chikhwawa,Chapananga,Changoima,Chikuni,,,Chikuni 3,35,35, ,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Masache,Lombe,Chikuni,,,39,84,84, ,Afridev Handpump,1959,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,-38,9,19, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,1959,1,2016,1,2016,14
2017,Malawi,Chikhwawa,Kasisi,Njereza,Chipula,,,777,455,455, ,Afridev Handpump,2008,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2008,1,2008,1,2008,0
2017,Malawi,Chikhwawa,Chapananga,Changoima,Siliva,,,ChangoimaSiliva 1,60,60, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Chapananga,Sila,Lami,,,Lami 6,5000,4000,1000,Afridev Handpump,2016,Low Risk,Medium Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,2,1,2,1,1,0,1,0,1,1,0, , , , ,1,2016,1,2016,1,2016,3
2017,Malawi,Chikhwawa,Chapananga,Kanzimbi,Chikungu,,,Mwanyimbi Chikungu2,150,150, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,2,1,1,1,0,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Ngabu,Nsomo,Nsomo,,,AOV INTERNATIONAL 1847,95,95, ,Afridev Handpump,1952,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Apron",Further Technical Diagnostic Needed , , ,-45,9,1, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,1952,1,2016,1,1998,0
2017,Malawi,Chikhwawa,Chapananga,Galonga,Chagoma,,,Chagoma 7,55,55, ,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,1,0,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Maseya,Kadzumba,Nkata,,,Nkata 2 BH 1,93,93, ,Afridev Handpump,1993,High Risk,Low Risk,High Level of Service,Medium Priority,8,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,-4,-14,-4, , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,1993,1,1993,1,1993,0
2017,Malawi,Chikhwawa,Lundu,Malemia,Malemia,,,sikilivawo,70,70, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Makhwira,Mpama,Thopoloni,,,Ck/MSF 11/99,294,294, ,Afridev Handpump,1999,High Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,2,-8,2, , ,1,1,2,1,1,1,0,1,0,0,1,1, , , , ,1,1999,1,1999,1,1999,45
2017,Malawi,Chikhwawa,Chapananga,Kunyondo,Mdziwenji,,,Mdziwenji 2,50,50, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Maseya,Matchona,Phinifolo,,,water for people,79,70,9,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Katunga,William,Nedi,,,EAGLES,110,110, ,Afridev Handpump,2008,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,2,1,2,1,1,0,1,0,1,1,0, , , , ,1,2008,1,2008,1,2008,0
2017,Malawi,Chikhwawa,Chapananga,Dausi,Chingetiman,,,Chingetimani 1,150,150, ,Malda Handpump,2004,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,7,-3,7, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2004,1,2004,1,2004,0
2017,Malawi,Chikhwawa,Ngowe,Mwananjobvu,Jese,,,Jese3,26,26, ,Afridev Handpump,2015,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Masache,Jackson,Mpuzeni,,,777,95,95, ,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,0,1,1,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Maseya,Kalima,Bereu,,,Bereu 2 BH 2,400,400, ,Afridev Handpump,2008,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,11,1,11, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2008,1,2008,1,2008,0
2017,Malawi,Chikhwawa,Katunga,Chinkole,Liwonde,,,Liwonde2/NWDP,59,59, ,Afridev Handpump,2003,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,6,-4,6, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2003,1,2003,1,2003,0
2017,Malawi,Chikhwawa,Chapananga,Kanzimbi,Chatsamira,,,Chatsamira 2, , , ,, ,No Improved Water Point/System,No Improved Water Point/System,No Improved Water Point/System,New Construction Needed,0,New Construction Needed,,Plan For Investment and Construction, , , , , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , 
2017,Malawi,Chikhwawa,Chapananga,Dausi,Dausi,,,Dausi 3,300,300, ,Afridev Handpump,2001,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Well,  ",Further Technical Diagnostic Needed , , ,4,9,19, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2001,1,2016,1,2016,0
2017,Malawi,Chikhwawa,Ndakwera,Mandalika,Mandalika,,,Mandalika 1,300,300, ,Afridev Handpump,2001,High Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Well, Pump, Apron",Further Technical Diagnostic Needed , , ,4,-6,4, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,2001,1,2001,1,2001,90
2017,Malawi,Chikhwawa,Chapananga,Timbenao,Lackson,,,7727,45,45, ,Afridev Handpump,2011,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,14,10,20, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2011,1,2017,1,2017,0
2017,Malawi,Chikhwawa,Chapananga,Chithumba,Chithumba,,,Kungoma 3,120,120, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Ngabu,Nsomo,Zamuntima,,,777,68,68, ,Afridev Handpump,1993,High Risk,Low Risk,Intermediate Level of Service,Medium Priority,6,Consider Replacing Aging Components,"Well, Apron",Further Technical Diagnostic Needed , , ,-4,9,-4, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,1993,1,2016,1,1993,0
2017,Malawi,Chikhwawa,Makhwira,Jana,Malata,,,Malata 3,789,789, ,Afridev Handpump,2010,Medium Risk,Low Risk,High Level of Service,Low Priority,8,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,13,3,13, , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,2010,1,2010,1,2010,0
2017,Malawi,Chikhwawa,Masache,Thendo,Mailosi,,,777,150,150, ,Afridev Handpump,2014,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,2014,1,2014,1,2014,21
2017,Malawi,Chikhwawa,Mulilima,Ntuwana,Chadula 2,,,Masaf/Chadula2,100,100, ,Afridev Handpump,2003,Medium Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,6,-4,6, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2003,1,2003,1,2003,0
2017,Malawi,Chikhwawa,Ngabu,Mpheza,Matumba,,,0,66, ,66,River/Stream, ,No Improved Water Point/System,No Improved Water Point/System,No Improved Water Point/System,New Construction Needed,0,New Construction Needed,,Plan For Investment and Construction, , , , , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , 
2017,Malawi,Chikhwawa,Makhwira,Nantusi,Nantusi,,,nantusi bh3,84,84, ,Afridev Handpump,2002,High Risk,Medium Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,5,-5,5, , ,1,2,1,2,1,1,0,1,0,0,1,0, , , , ,1,2002,1,2002,1,2002,15
2017,Malawi,Chikhwawa,Chapananga,Kunyondo,Gashitali,,,Gashitali 2,50,50, ,Afridev Handpump,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,1,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Malawi,Chikhwawa,Maseya,Mkwana,Mkwana I,,,water for people,170,150,120,Afridev Handpump,2016,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,1,1,0,0,1,1, , , , ,1,2016,1,2016,1,2016,10
2017,Malawi,Chikhwawa,Ngabu,Kaluwa,Kaluwa,,,kaluwa,73,73, ,Afridev Handpump,2009,High Risk,Medium Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,12,-13,-1220, , ,1,2,2,2,1,1,0,1,0,0,1,0, , , , ,1,2009,1,1994,1,777,28
2017,Malawi,Chikhwawa,Maseya,Kalima,Bereu,,,DTE MWO 33/07,360,250,110,Afridev Handpump,2007,Medium Risk,Low Risk,Basic Level of Service,Medium Priority,5,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,10,0,10, , ,1,1,1,1,1,1,0,1,0,0,1,1, , , , ,1,2007,1,2007,1,2007,4
2017,Malawi,Chikhwawa,Chapananga,Misomali,Chaziya,,,175,206,206, ,Afridev Handpump,2015,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,2,1,1,1,0,0,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Malawi,Chikhwawa,Chapananga,Saliva Ii,Lamplao,,,Lampiao 2,50,50,50,Afridev Handpump,2013,Low Risk,High Risk,Basic Level of Service,High Priority,4,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,16,6,16, , ,1,1,2,3,1,1,1,0,0,1,0,0, , , , ,1,2013,1,2013,1,2013,0
